depositor_address,bpt_in_wallet,bpt_in_bal_gauge,bpt_in_aura,total_pool_tokens
0x260cbb867359a1084eC97de4157d06ca74e89415,1384.5288602576666,0.0,0.0,0
0x01489713A676911d5f8937E8CF822C2207990534,0.04831700621506217,0.0,0.0,0.04831700621506217
0xFaf2A8b5fa78cA2786cEf5F7e19f6942EC7cB531,0.04489701700081664,0.0,0.0,0.04489701700081664
0xEc2AB9D7dF156195236aF3d78Fdc59F87d0dfe25,0.024884955552362625,0.0,0.0,0.024884955552362625
0x85c6aC32616c23D9756F7609b55c34Eb9897aa3D,0.011464592568038933,0.0,0.0,0.011464592568038933
0x501c62bfFa3D4c2A8E27000887Ad6B5f1FB5F41B,0.009776391739174654,0.0,0.0,0.009776391739174654
0x9a8a477eC90B15D27adE5e3e76508C95fC1411D0,0.008834387705434111,0.0,0.0,0.008834387705434111
0xe7f654Af5a24A1ACAc90F6167dD58973dB301D92,0.008304937061683417,0.0,0.0,0.008304937061683417
0x02a52DbC85fFCC15400eF80D8F67Ea5923A7E67b,0.007736974779648846,0.0,0.0,0.007736974779648846
0xFD566133fD46E0a5881991103d5665959200d6B1,0.005866920664174907,0.0,0.0,0.005866920664174907
0xce88686553686DA562CE7Cea497CE749DA109f9F,0.005650316617381148,0.0,0.0,0.005650316617381148
0x34F018520144aDa84bFeE3716A760C6215351A61,0.003791035310559168,0.0,0.039,0.04279103531055917
0xE4791033064e707bf26EA4A29345cB0dc7E8eD85,0.002996169079327879,0.0,0.0,0.002996169079327879
0x6632820918c7C1cE46841AeDAA4d8DeeA8d34d8e,0.002156945835645039,0.0,0.0,0.002156945835645039
0xdf3053c95c5638cF379fFD649C4ecC8B17Ce267E,0.001991927550767217,0.0,0.0,0.001991927550767217
0xdD8d546aB8FA99121E40941270D555EB1df1640A,0.001989787925229472,0.0,0.0,0.001989787925229472
0xcb4C2DB59a22Bd221Bb5B0059f565A4164C56d43,0.001780358347989656,0.0,0.0,0.001780358347989656
0x8ADEE016582d1f730c0Ff7FD0a7D6b34c5D6d81F,0.001196045405870603,0.0,0.0,0.001196045405870603
0x5FD36bDe802Fa4eED1D2f55E79A57f565531D80c,0.00099882853719899,0.0,0.0,0.00099882853719899
0x8c7eF83FAD9057e3233b3a647cFeFA94121B7834,0.000997677011651794,0.0,0.0,0.000997677011651794
0xb09aFD96b82EE59096914473ac48AAb709BDA91a,0.000992351507640578,0.0,0.0,0.000992351507640578
0x667dfC75801d76590037D506AB7B22012f286421,0.000959630954684664,0.0,0.0,0.000959630954684664
0x48bFe82E398c2AE80dda1EDf7B00BffB93D94e87,0.000800406396231472,0.0,0.0,0.000800406396231472
0x9729F94539dA7c814068fCfCc21045f5F4e2a0Ab,0.000709333849097665,0.0,0.0,0.000709333849097665
0x3A3C6174364c497792b60A541ed5189913985473,0.000705034162527226,0.0,0.0,0.000705034162527226
0x6d69ad7c97a3C6bc80E36d0272e54C4FD7ABed07,0.000696418252766676,0.0,0.0,0.000696418252766676
0xC0c630f5c9A78A75a92617852AD0F4E80BF252Cf,0.000638437916976129,0.0,0.0,0.000638437916976129
0xF1D8DEAc7A26eded42CfB889B5D3CCC8B273f9b1,0.000496426516498343,0.0,0.0,0.000496426516498343
0xdbEC81b4Eab0B5234dBd9ff7c456BF750d7a9086,0.000496041701029047,0.0,0.0,0.000496041701029047
0x180552B16Df48DE918c781E3EeAC09371FE2c5Eb,0.000281881256319293,0.0,0.0,0.000281881256319293
0x800557569ffD43618298A784486A8757342aEa80,0.000220630916112787,0.0,0.0,0.000220630916112787
0xF8340ce114b9efaCC817d7Bc3e7A0282BcDa5f07,0.000178116123074068,0.0,0.0,0.000178116123074068
0x62F3Bae8f37DC1AE093A82Db227D9E2bf508a6D9,0.000110078792028444,0.0,0.0,0.000110078792028444
0xEf2Fc2c69e64e42d48651149099A1FEa643f5B7b,9.9776813217623e-05,0.0,0.0,9.9776813217623e-05
0x66C9152339ce05EE0C8A8eff9EeF8230AbFe8350,9.8658232326868e-05,0.0,0.0,9.8658232326868e-05
0x339cc1A1201ce64dAafD43fbF4D1b33CcF50C830,7.4664729494388e-05,0.0,0.0,7.4664729494388e-05
0x8B733Ca2E9665e59fB7ABd53E371730B5213AB4b,6.5706028468884e-05,0.0,0.0,6.5706028468884e-05
0x353F1ee8cAf27eE9C2B781C86756bFEf95FabD01,4.7816200834382e-05,0.0,0.0,4.7816200834382e-05
0xc648655dc93E0C7472888095D0B7A7ee27CC77b1,2.3093862444228e-05,0.0,0.0,2.3093862444228e-05
0x046820E6182c97359979770A28b7b2D13fa00bA3,1.2363169620904e-05,0.0,0.0,1.2363169620904e-05
0x87E62D5c9379C972f0A9D1411D8D2751CBcba27b,1.1493985234738e-05,0.0,0.0,1.1493985234738e-05
0x01287890fA522335A858ac7986c949aBf7a3D5a8,1.1098146931212e-05,0.0,0.0,1.1098146931212e-05
0xd8422593F16cd6D65c3F4cfA28b5b5A862037123,4.985539461856e-06,0.0,0.0,4.985539461856e-06
0x883Fe1b25b3c199b9977321371e7AF5C10A933a4,2.907308092544e-06,0.0,0.0,2.907308092544e-06
0xeAEc6594Dcc8F5e5458b16aDF33F01C8972C0f3E,2.660669936084e-06,0.0,0.0,2.660669936084e-06
0x5C183B6B02444977c7db8498Bd608a9adD62924a,1.955320154611e-06,0.0,0.0,1.955320154611e-06
0xFC71ab2043Ce7f013f068055dC360A699024A8A7,1.884220807545e-06,0.0,0.0,1.884220807545e-06
0x8882AC70b4bbe60c7E40C10672fBE2625a55C7C6,1.751804805233e-06,0.0,0.0,1.751804805233e-06
0x2CEfac69A3Cf70467e8Beb5983A00668ae9a395B,1.397816760474e-06,0.0,0.0,1.397816760474e-06
0xAF735F866A639bED6Bd018C2040435bAadf1265a,1.13205671534e-06,0.0,0.0,1.13205671534e-06
0xB4F78a5adC242f67dFe3391cEa55Dc882BcaAd7C,7.32385471743e-07,0.0,0.0,7.32385471743e-07
0xB9Bee603BD1449ADeB9a9Babd73e9b19f4Df5D50,5.28577199182e-07,0.0,0.0,5.28577199182e-07
0x0000000000000000000000000000000000000000,1e-12,0.0,0.0,1e-12
0xC181Edc719480bd089b94647c2Dc504e2700a2B0,0.0,1066.2172996128756,0.0,0
0xfD5Bb4f34b3CDa836616fbB7fD8a5368f1b61a17,0.0,104.56894810239255,0.0,104.56894810239255
0xc9625c9f93a14B3b9CA2AB918282c0f4B4b7EF6E,0.0,74.21163032369985,0.0,74.21163032369985
0x411CF033C71DC12E4B0b8516f59CFDF40eF61b11,0.0,39.69117887476005,0.0,39.69117887476005
0x3b9edd850ee73C4d6c61f007BDCB63DDe0FF4692,0.0,21.293216773542717,0.0,21.293216773542717
0xA924E7540c39D751BbB146D49456a4E07de7f0D4,0.0,15.91471882461803,0.0,15.91471882461803
0x68E0384D0A5DAAF5DC4247aB0D49cF6Dce4Aa748,0.0,10.196030402679016,0.0,10.196030402679016
0xbF0Ceb852001bA5fd599dC031951086aD247B127,0.0,9.0772652741553,0.0,9.0772652741553
0x9AE301f85aA01190BE7E06a23eD110CDE0930511,0.0,8.992592801723887,0.0,8.992592801723887
0x99d39F545AB74bD686859b9608B6fE8719bC7349,0.0,5.78750702747425,0.0,5.78750702747425
0xC3B0B5B29A36Ee1bD0602213B498806C5BfCD065,0.0,4.453986190309679,0.0,4.453986190309679
0x0039e762ECd8e8F074e93575dc395aBFCe4ef8b6,0.0,3.083364400781344,0.0,3.083364400781344
0x86cCF8F139FEfFa849cf2796eB8aDf517Da17d87,0.0,2.5299560537993235,0.0,2.5299560537993235
0x5744442cb4aD6e3d4b2b9d72549DD11405aB1eC3,0.0,2.4108933719100114,0.0,2.4108933719100114
0xeB0fe82e86Bf3aEA3EcEdB2B6D4D8ee4095e876E,0.0,2.083513258451461,0.0,2.083513258451461
0xE04df446fE7493B1DABA4321A2cDf01af5224BC1,0.0,1.9296182063828746,0.0,1.9296182063828746
0xa7aBEF772F118671390A557f1fCdfCA4cF0A52ab,0.0,1.585143744205575,0.0,1.585143744205575
0x9BCd1c8E4Bddb3A44221E48d24471Bb141BdD2C9,0.0,1.5033311873309068,0.0,1.5033311873309068
0x4D987680BFFf10F7157Bbae69C747162381B0572,0.0,1.2622596687735301,0.0,1.2622596687735301
0x8441F36f5FDB944D9e137B059f75b7b4C3833D7D,0.0,1.2418659257382358,0.0,1.2418659257382358
0x1191b75755dbfaD24106c1F6cDA9fAB1a3F55724,0.0,0.9914108037077256,0.0,0.9914108037077256
0xfd43Bf9c5CF94B3b9F8b75f3D06884fc930a54b8,0.0,0.7951328387648547,0.0,0.7951328387648547
0xdB4eF0A7EEAC02461fbc07FfA6923b0CEc02e875,0.0,0.5006798773112079,0.0,0.5006798773112079
0xc45D74B2f184796e49ef98a711Da8964685f4880,0.0,0.49960033411780985,0.0,0.49960033411780985
0xE64F06F695De4C4E21BA8F383a2675Fd884Ac720,0.0,0.49604257231492926,0.0,0.49604257231492926
0x2A920e07149a472E0373c9B451a0F83930204eC7,0.0,0.4549494411129542,0.0,0.4549494411129542
0x79179e2F2127d45308AA4deADF4d3d74Ed74c638,0.0,0.4117069347516685,0.0,0.4117069347516685
0xfE8CEAC27a23C77b6b833B73B725026487AbdaD9,0.0,0.3966282001590884,0.0,0.3966282001590884
0xD87Ed2b8bcd3f498584B49AAC499656a2C9B952E,0.0,0.32452668447799665,0.0,0.32452668447799665
0x4a6baCA6F15407589cF649eF441661770485476b,0.0,0.22930962812520672,0.0,0.22930962812520672
0x3FD715dA8Ec203700327bd9D4C03Fc6b62cDcF0b,0.0,0.16978963624260696,0.0,0.16978963624260696
0x75cA1646f1740E782B26d28BdCc2c49D75A341ef,0.0,0.14584863767712564,0.0,0.14584863767712564
0x09e700f28854675bdb6FBCC79b90B40DcF4B1C78,0.0,0.1449268866942603,0.0,0.1449268866942603
0x9e77008F98D840782333F9267603295CA2AEA765,0.0,0.128362789693755,0.0,0.128362789693755
0xCa3E74714e954B2DEbe6dAB907E4B80353348AFb,0.0,0.11496159628593679,0.0,0.11496159628593679
0x60b8DF280F685D6d9E233e1056925B8306C42789,0.0,0.10021262068391032,0.0,0.10021262068391032
0xAC9B659ee4470Ad7a017b29e78268A629186863F,0.0,0.09957881607434957,0.0,0.09957881607434957
0xDE3D28C9BAfa1f456E0B8196Fd08DdbDE092d135,0.0,0.07369161023999335,0.0,0.07369161023999335
0x3CC1213Da4861DC21bdC38660Ab52bE0ED7d92Fd,0.0,0.06882036065433061,0.0,0.06882036065433061
0x053B77aA5155d20bB2F3bF54548266472badbD4A,0.0,0.06479852963389082,0.0,0.06479852963389082
0xEB43212764933cfb4BC9B6DD821817B868e4599a,0.0,0.04995104982130688,0.0,0.04995104982130688
0x07752F199f823Ec4Ff94d3C7F2033ED249D25ECF,0.0,0.041527347183115106,0.0,0.041527347183115106
0x9aB23ef5ef51520aC09bd5e56Eb95586547547f4,0.0,0.04094270337711453,0.0,0.04094270337711453
0xB777c6fb03436499841AE0D6B5F79588d5EADC50,0.0,0.038672864139097894,0.0,0.038672864139097894
0xBbd8bd806dD2685040c265f8F07dB95ac343f9bA,0.0,0.025475228053535293,0.0,0.025475228053535293
0x8aEc81d55D5A676f7884f8D2D2d80a64373B1c10,0.0,0.014930506366658743,0.0,0.014930506366658743
0x26c21891B4b5A8161e2AbDA0760FC9d7d3393880,0.0,0.011104107662255263,0.0,0.011104107662255263
0x898ab6605409028c42399a6dc9C8ca8Ee164fE44,0.0,0.009969059461997873,0.0,0.009969059461997873
0x6cc52AbeA0c40c7e99092E44F9ce26305074De83,0.0,0.006870717361511981,0.0,0.006870717361511981
0x2718A8B3E39F799970d07d72FAF178D0f6AbcE3A,0.0,0.004963574496222599,0.0,0.004963574496222599
0xD3717876b9312Bb28c58647C4Ce2F7B5E49530Fd,0.0,0.00496339417190842,0.0,0.00496339417190842
0x21a2fF1b99aBE72992f52fE7EdF282a99795cF6a,0.0,0.002480633516747903,0.0,0.002480633516747903
0x986f777cD8c9a2a31E6aA92BDa1294913e31B722,0.0,0.002407687536597687,0.0,0.002407687536597687
0xF31D342A3553c887551e34cf08E19B54F45706Cb,0.0,0.001992467071706026,0.0,0.001992467071706026
0xb4903033c1179191Df4658670fe0Fe6302Fef2E0,0.0,0.001861274217146736,0.0,0.001861274217146736
0xbeB3e4AFA46BB1552476995a8F4992a1F79E327e,0.0,0.001497577900818305,0.0,0.001497577900818305
0x7126BaE6ee218e314cD6717500058dDb2325Be85,0.0,0.001306386896876897,0.0,0.001306386896876897
0xFC4f3E893DE2A62d62f82F749A15111add6bCFB0,0.0,0.001196026711304675,0.0,0.001196026711304675
0x94AbAD92B4fC726a35e5028C3e2cA2862c783dCF,0.0,0.001099310618129819,0.0,0.001099310618129819
0xEFd95a68610e110a5775F74188a8C93DD00fD0c2,0.0,0.001017289634190717,0.0,0.001017289634190717
0xB86fa0cfEEA21558DF988AD0ae22F92a8EF69AC1,0.0,0.000997761838411179,0.0,0.000997761838411179
0x7aDf30DCa721F792a4308dcaC6607117e697a432,0.0,0.000997130075301649,0.0,0.000997130075301649
0xE7A5ee6e2a2C40CcD1f53A606a1D1910880f0678,0.0,0.000995786018566017,0.0,0.000995786018566017
0xc08a1C1aCccad250Cb1d86BE039C8957EbC56e38,0.0,0.000995519347727816,0.0,0.000995519347727816
0x1D5e7845D92AC63Efd015A69f8c4aFA1d4f0186b,0.0,0.000995249370825042,0.0,0.000995249370825042
0xDE5DE03bC6a452aE3C0813372d86C0005421b1B1,0.0,0.000995072653070633,0.0,0.000995072653070633
0x6fd54E514B40a503Af8c5847F9877673132992db,0.0,0.000995064865081363,0.0,0.000995064865081363
0xe84C86451B6c2e8A90e7aCe31aAc7187e11E2802,0.0,0.000991219451569563,0.0,0.000991219451569563
0x93af5Cca3C380c66266bfA7Ae789E935c7ff0F4b,0.0,0.000988125946178343,0.0,0.000988125946178343
0x622a89426b7CAdCa82366bA03668bF25E7041274,0.0,0.000895689736549756,0.0,0.000895689736549756
0x8475135349D643940ddEDC33FfC731AFC5F9F4cE,0.0,0.000895618384419059,0.0,0.000895618384419059
0xCb9EC343576E452D549BFA57D969D83886C5dABf,0.0,0.000794947451209111,0.0,0.000794947451209111
0x8Fd623fFC77f7c3616E49fEEeBdDF23304613324,0.0,0.000701404477141252,0.0,0.000701404477141252
0x454EFEc7B30B16997B14599d167C2C1DBb02a66b,0.0,0.000698531819002535,0.0,0.000698531819002535
0xDc7dA0E674EeA0D14A050227deE9f5eE702C41BD,0.0,0.000698134259725618,0.0,0.000698134259725618
0x904179Bd0B2E7919f263ed7e17a02079703D450d,0.0,0.000646787048142333,0.0,0.000646787048142333
0x34De2B5d825c823B3D57CD333409Cd9d852Cc2c9,0.0,0.000595625206859223,0.0,0.000595625206859223
0x231411E2AAd1a477782A876b58279aC1E5463cb1,0.0,0.000577807740571609,0.0,0.000577807740571609
0x4df54e84A1504DAF90E79E5e96c72F5432B3a266,0.0,0.000572774444576035,0.0,0.000572774444576035
0x59d95A7Cadc2ce3bAA97535Ee653982D2D80accD,0.0,0.000552643613924726,0.0,0.000552643613924726
0x96a564fcf259101dF654622FA796B50A31c77e2d,0.0,0.000497555219162923,0.0,0.000497555219162923
0xBA516201784d0313B259363f00E6D51fcf929a6a,0.0,0.000496080945684366,0.0,0.000496080945684366
0xAf3dAaeB88F1173037bb3BbdF82d3ef2420d4e38,0.0,0.000448744988708995,0.0,0.000448744988708995
0x555CcE49bbBcd0143e14a44cC7cc6FbC6c761679,0.0,0.000447807393617846,0.0,0.000447807393617846
0xFfD1bDfD159B52aBf266326C24dc0497127E5271,0.0,0.000213712764621768,0.0,0.000213712764621768
0xA9560340cA757d537E297c7Cf9416a586D217c07,0.0,0.000213039466054894,0.0,0.000213039466054894
0xDC8Cf1935dc61899370c8d64eF059D332235ec1D,0.0,0.000212834012140756,0.0,0.000212834012140756
0x3715Cb74eA9f81393C2e180A06E79bedb7A38B59,0.0,0.000113866756153635,0.0,0.000113866756153635
0xD4CA789F73d87aAF87d31b558ec7F1E159849Ed6,0.0,6.9799332976986e-05,0.0,6.9799332976986e-05
